"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1014.4","1017.9","1016.5","2023/11/01 08:33:00","1012.7","2023/11/01 23:49:00","25.1","28.5","2023/11/01 13:37:00","22.6","2023/11/01 00:01:00","20.4","76","60","2023/11/01 12:31:00","3.3","100","12.5","100","2023/11/01 14:27:00","0.0","0.0","0.0","--","0.0","--","7.0","63.2","14.43","53.0","3.1","6","2023/11/01 12:00:00","5.4"
"02","1011.3","1014.8","1012.9","2023/11/02 08:03:00","1009.4","2023/11/02 14:03:00","26.7","31.8","2023/11/02 13:22:00","23.7","2023/11/02 04:09:00","20.5","70","47","2023/11/02 13:40:00","1.7","120","7.9","100","2023/11/02 01:06:00","0.0","0.0","0.0","--","0.0","--","7.9","71.4","17.86","55.0","3.4","8","2023/11/02 12:00:00","3.2"
"03","1010.2","1013.7","1011.9","2023/11/03 08:25:00","1008.5","2023/11/03 14:22:00","26.1","31.3","2023/11/03 12:53:00","22.4","2023/11/03 05:30:00","20.1","70","49","2023/11/03 12:12:00","1.5","90","6.1","340","2023/11/03 13:25:00","0.0","0.0","0.0","--","0.0","--","8.0","72.4","16.03","27.0","3.4","6","2023/11/03 12:00:00","4.4"
"04","1010.6","1014.0","1012.1","2023/11/04 08:30:00","1008.9","2023/11/04 13:47:00","26.9","31.8","2023/11/04 12:15:00","22.7","2023/11/04 06:07:00","19.9","66","42","2023/11/04 12:34:00","1.5","320","6.5","330","2023/11/04 12:59:00","0.0","0.0","0.0","--","0.0","--","10.4","94.3","18.40","62.0","3.1","8","2023/11/04 12:00:00","1.8"
"05","1010.8","1014.3","1012.1","2023/11/05 08:46:00","1008.9","2023/11/05 14:58:00","27.0","32.2","2023/11/05 12:50:00","23.5","2023/11/05 06:18:00","21.0","70","39","2023/11/05 12:16:00","1.5","160","6.7","340","2023/11/05 13:13:00","0.0","0.0","0.0","--","0.0","--","10.3","93.6","17.47","52.0","2.3","7","2023/11/05 12:00:00","1.6"
"06","1012.6","1016.1","1016.5","2023/11/06 22:56:00","1010.4","2023/11/06 13:14:00","25.9","32.8","2023/11/06 12:21:00","21.9","2023/11/06 23:37:00","20.4","73","44","2023/11/06 12:07:00","2.4","90","12.2","90","2023/11/06 18:06:00","0.0","0.0","0.0","--","0.0","--","7.6","69.2","14.81","38.0","5.5","7","2023/11/06 12:00:00","4.2"
"07","1016.3","1019.9","1018.6","2023/11/07 08:53:00","1014.5","2023/11/07 23:54:00","23.2","24.9","2023/11/07 10:17:00","21.9","2023/11/07 00:01:00","15.6","63","51","2023/11/07 09:48:00","3.9","90","13.3","80","2023/11/07 09:23:00","0.0","0.0","0.0","--","0.0","--","5.7","52.0","15.03","38.0","4.4","6","2023/11/07 11:00:00","5.4"
"08","1012.9","1016.4","1014.5","2023/11/08 00:01:00","1011.1","2023/11/08 14:34:00","25.8","30.2","2023/11/08 13:40:00","22.9","2023/11/08 04:51:00","18.3","64","51","2023/11/08 12:37:00","2.9","90","10.8","80","2023/11/08 00:11:00","0.0","0.0","0.0","--","0.0","--","8.8","80.4","16.58","46.0","2.2","7","2023/11/08 12:00:00","6.2"
"09","1011.9","1015.4","1013.4","2023/11/09 00:01:00","1009.3","2023/11/09 14:17:00","26.9","31.9","2023/11/09 14:24:00","23.1","2023/11/09 06:00:00","20.7","70","51","2023/11/09 13:52:00","1.4","110","8.4","90","2023/11/09 10:25:00","0.0","0.0","0.0","--","0.0","--","8.5","77.8","15.69","53.0","3.6","6","2023/11/09 13:00:00","4.6"
"10","1014.4","1017.9","1016.9","2023/11/10 23:25:00","1012.6","2023/11/10 02:04:00","25.2","30.3","2023/11/10 10:46:00","22.6","2023/11/10 23:25:00","21.4","80","56","2023/11/10 10:01:00","2.0","90","10.8","80","2023/11/10 14:56:00","0.5","2.1","0.5","2023/11/10 21:21:00","0.5","2023/11/10 21:21:00","4.1","37.6","9.84","21.0","-2.3","5","2023/11/10 12:00:00","7.6"
"11","1016.7","1020.3","1018.3","2023/11/11 22:08:00","1014.8","2023/11/11 14:44:00","22.4","24.5","2023/11/11 10:39:00","21.4","2023/11/11 23:45:00","20.2","87","77","2023/11/11 10:41:00","2.8","100","11.1","80","2023/11/11 13:22:00","T","0.5","T","2023/11/11 16:10:00","T","2023/11/11 16:10:00","0.4","3.7","8.68","11.2","-0.3","4","2023/11/11 11:00:00","9.4"
"12","1019.0","1022.6","1022.5","2023/11/12 23:04:00","1016.2","2023/11/12 03:27:00","21.1","22.4","2023/11/12 09:32:00","18.8","2023/11/12 23:26:00","19.1","88","73","2023/11/12 13:28:00","2.7","90","9.2","90","2023/11/12 14:50:00","2.0","2.0","0.5","2023/11/12 05:42:00","1.0","2023/11/12 22:13:00","0.0","0.0","4.95","12.8","-1.2","3","2023/11/12 11:00:00","9.8"
"13","1022.4","1026.0","1024.2","2023/11/13 09:18:00","1021.0","2023/11/13 15:02:00","18.3","19.1","2023/11/13 00:12:00","17.4","2023/11/13 13:04:00","14.6","79","68","2023/11/13 17:32:00","2.8","90","10.6","110","2023/11/13 22:42:00","T","0.1","T","2023/11/13 00:08:00","T","2023/11/13 00:08:00","0.0","0.0","2.87","19.0","-1.2","2","2023/11/13 12:00:00","10.0"
"14","1019.9","1023.5","1021.9","2023/11/14 09:40:00","1018.2","2023/11/14 14:11:00","19.2","20.0","2023/11/14 14:59:00","18.2","2023/11/14 00:14:00","16.1","83","70","2023/11/14 01:46:00","3.0","90","10.6","90","2023/11/14 12:57:00","0.5","6.0","0.5","2023/11/14 19:06:00","0.5","2023/11/14 19:06:00","0.0","0.0","2.91","39.0","-0.6","2","2023/11/14 12:00:00","10.0"
"15","1019.3","1022.9","1022.0","2023/11/15 08:26:00","1017.3","2023/11/15 23:59:59","20.9","23.3","2023/11/15 12:28:00","18.9","2023/11/15 00:07:00","17.5","81","68","2023/11/15 12:16:00","3.7","100","14.2","100","2023/11/15 15:17:00","T","0.1","T","2023/11/15 02:31:00","T","2023/11/15 02:31:00","5.3","48.9","12.93","50.0","2.3","6","2023/11/15 13:00:00","6.8"
"16","1018.8","1022.4","1022.3","2023/11/16 23:21:00","1016.1","2023/11/16 03:58:00","20.8","26.2","2023/11/16 09:41:00","16.5","2023/11/16 23:57:00","18.5","87","69","2023/11/16 09:41:00","1.8","320","10.0","340","2023/11/16 12:21:00","9.0","7.9","1.0","2023/11/16 17:36:00","4.0","2023/11/16 17:36:00","1.4","12.9","8.08","19.8","-1.2","4","2023/11/16 11:00:00","9.0"
"17","1021.3","1025.0","1022.8","2023/11/17 08:58:00","1019.1","2023/11/17 13:47:00","16.8","20.7","2023/11/17 13:15:00","13.4","2023/11/17 23:58:00","10.1","66","44","2023/11/17 13:42:00","1.6","140","7.7","340","2023/11/17 13:03:00","0.5","0.7","0.5","2023/11/17 00:08:00","0.5","2023/11/17 00:08:00","4.5","41.7","10.43","30.0","2.1","5","2023/11/17 13:00:00","6.0"
